caregiver_id,name,experience_years,primary_region,cost_level
CG001,居服員_1,10,頭份市,Mid
CG002,居服員_2,3,苗栗市,Senior
CG003,居服員_3,10,頭份市,Mid
CG004,居服員_4,8,頭份市,Junior
CG005,居服員_5,1,頭份市,Senior
CG006,居服員_6,2,苑裡鎮,Senior
CG007,居服員_7,8,苗栗市,Mid
CG008,居服員_8,10,苑裡鎮,Senior
CG009,居服員_9,5,後龍鎮,Senior
CG010,居服員_10,2,公館鄉,Junior
CG011,居服員_11,3,頭份市,Junior
CG012,居服員_12,1,頭份市,Senior
CG013,居服員_13,3,造橋鄉,Mid
CG014,居服員_14,3,大湖鄉,Mid
CG015,居服員_15,5,苑裡鎮,Junior
CG016,居服員_16,1,苑裡鎮,Mid
CG017,居服員_17,8,頭屋鄉,Junior
CG018,居服員_18,8,苗栗市,Senior
CG019,居服員_19,1,通霄鎮,Junior
CG020,居服員_20,1,造橋鄉,Senior
